Date,Price
12/31/2014,0.067789716
1/1/2015,0.067811782
1/2/2015,0.067392711
1/5/2015,0.066910668
1/6/2015,0.067137525
1/7/2015,0.067957866
1/8/2015,0.068181663
1/9/2015,0.06847908
1/12/2015,0.06824215
1/13/2015,0.068429408
1/14/2015,0.069019781
1/15/2015,0.068183523
1/16/2015,0.068689811
1/19/2015,0.0683915
1/20/2015,0.068208637
1/21/2015,0.067776392
1/22/2015,0.068344291
1/23/2015,0.068225855
1/26/2015,0.068602162
1/27/2015,0.068408343
1/28/2015,0.067777311
1/29/2015,0.067590402
1/30/2015,0.066769046
2/2/2015,0.067260351
2/3/2015,0.06824541
2/4/2015,0.067144737
2/5/2015,0.067622854
2/6/2015,0.067347324
2/9/2015,0.067410428
2/10/2015,0.066866374
2/11/2015,0.066345114
2/12/2015,0.067039406
2/13/2015,0.067180824
2/16/2015,0.067001226
2/17/2015,0.067051992
2/18/2015,0.067280715
2/19/2015,0.066658223
2/20/2015,0.066527845
2/23/2015,0.066270809
2/24/2015,0.067047946
2/25/2015,0.066979236
2/26/2015,0.066679113
2/27/2015,0.06689008
3/2/2015,0.066599179
3/3/2015,0.066682226
3/4/2015,0.066422674
3/5/2015,0.065811988
3/6/2015,0.064521957
3/9/2015,0.064615762
3/10/2015,0.064004096
3/11/2015,0.064531117
3/12/2015,0.064975147
3/13/2015,0.064567366
3/16/2015,0.064857573
3/17/2015,0.065037689
3/18/2015,0.066247102
3/19/2015,0.065459592
3/20/2015,0.066417821
3/23/2015,0.06698462
3/24/2015,0.066920966
3/25/2015,0.066725385
3/26/2015,0.066037113
3/27/2015,0.065628425
3/30/2015,0.065515344
3/31/2015,0.065515773
4/1/2015,0.065996581
4/2/2015,0.066637346
4/3/2015,0.067443617
4/6/2015,0.067027273
4/7/2015,0.066966229
4/8/2015,0.067081229
4/9/2015,0.066273444
4/10/2015,0.065675837
4/13/2015,0.065008094
4/14/2015,0.065515773
4/15/2015,0.06546902
4/16/2015,0.065909151
4/17/2015,0.065207752
4/20/2015,0.064702723
4/21/2015,0.064777328
4/22/2015,0.064750903
4/23/2015,0.065130456
4/24/2015,0.065011052
4/27/2015,0.065139366
4/28/2015,0.065542826
4/29/2015,0.065666349
4/30/2015,0.065144458
5/1/2015,0.064341784
5/4/2015,0.064705654
5/5/2015,0.06518225
5/6/2015,0.065099928
5/7/2015,0.065285231
5/8/2015,0.066134067
5/11/2015,0.065092301
5/12/2015,0.065199249
5/13/2015,0.065507619
5/14/2015,0.066208065
5/15/2015,0.066632462
5/18/2015,0.066146316
5/19/2015,0.065854895
5/20/2015,0.065821085
5/21/2015,0.065687485
5/22/2015,0.065505044
5/25/2015,0.065535524
5/26/2015,0.065371868
5/27/2015,0.065431323
5/28/2015,0.065297167
5/29/2015,0.065027962
6/1/2015,0.064577373
6/2/2015,0.064801674
6/3/2015,0.064439633
6/4/2015,0.064361247
6/5/2015,0.063647647
6/8/2015,0.063981164
6/9/2015,0.064182381
6/10/2015,0.064771454
6/11/2015,0.065149975
6/12/2015,0.064921575
6/15/2015,0.064781944
6/16/2015,0.064975147
6/17/2015,0.065552278
6/18/2015,0.065178426
6/19/2015,0.065152522
6/22/2015,0.065197549
6/23/2015,0.064934222
6/24/2015,0.064519875
6/25/2015,0.064596145
6/26/2015,0.064274788
6/29/2015,0.063745833
6/30/2015,0.063536842
7/1/2015,0.063377782
7/2/2015,0.06385696
7/3/2015,0.063571983
7/6/2015,0.063641571
7/7/2015,0.063302758
7/8/2015,0.063097852
7/9/2015,0.06322991
7/10/2015,0.063638736
7/13/2015,0.06369305
7/14/2015,0.063850437
7/15/2015,0.063362522
7/16/2015,0.063168401
7/17/2015,0.06278804
7/20/2015,0.06245316
7/21/2015,0.062489064
7/22/2015,0.062101772
7/23/2015,0.061681943
7/24/2015,0.061474528
7/27/2015,0.061378311
7/28/2015,0.061443932
7/29/2015,0.06138547
7/30/2015,0.061471127
7/31/2015,0.06207787
8/3/2015,0.061823802
8/4/2015,0.061353457
8/5/2015,0.061071686
8/6/2015,0.061256118
8/7/2015,0.061890763
8/10/2015,0.061885401
8/11/2015,0.061293664
8/12/2015,0.061430722
8/13/2015,0.060972264
8/14/2015,0.061069821
8/17/2015,0.060872053
8/18/2015,0.060967059
8/19/2015,0.060163766
8/20/2015,0.059512474
8/21/2015,0.0588682
8/24/2015,0.058135817
8/25/2015,0.058108791
8/26/2015,0.058778927
8/27/2015,0.059257855
8/28/2015,0.059701493
8/31/2015,0.059700423
9/1/2015,0.058932381
9/2/2015,0.059431125
9/3/2015,0.059524164
9/4/2015,0.059032574
9/7/2015,0.058836335
9/8/2015,0.059441723
9/9/2015,0.059431832
9/10/2015,0.059617494
9/11/2015,0.059387007
9/14/2015,0.05969294
9/15/2015,0.05992258
9/16/2015,0.060428803
9/17/2015,0.060242415
9/18/2015,0.060051765
9/21/2015,0.060015364
9/22/2015,0.059224163
9/23/2015,0.058419405
9/24/2015,0.059278931
9/25/2015,0.058920575
9/28/2015,0.058585054
9/29/2015,0.058739566
9/30/2015,0.05910969
10/1/2015,0.059091527
10/2/2015,0.059670143
10/5/2015,0.059545076
10/6/2015,0.060040587
10/7/2015,0.06004888
10/8/2015,0.060758878
10/9/2015,0.060856865
10/12/2015,0.060753711
10/13/2015,0.06003482
10/14/2015,0.060703186
10/15/2015,0.061014674
10/16/2015,0.060879094
10/19/2015,0.060647963
10/20/2015,0.060382463
10/21/2015,0.060039506
10/22/2015,0.060692501
10/23/2015,0.060270373
10/26/2015,0.0604968
10/27/2015,0.06044049
10/28/2015,0.060100488
10/29/2015,0.060131929
10/30/2015,0.060598348
11/2/2015,0.060820961
11/3/2015,0.060981931
11/4/2015,0.060473751
11/5/2015,0.060223187
11/6/2015,0.059497248
11/9/2015,0.059618205
11/10/2015,0.059688664
11/11/2015,0.059770362
11/12/2015,0.059745008
11/13/2015,0.05994018
11/16/2015,0.059628514
11/17/2015,0.05978966
11/18/2015,0.059752862
11/19/2015,0.060164852
11/20/2015,0.060465341
11/23/2015,0.06043355
11/24/2015,0.060482164
11/25/2015,0.060595411
11/26/2015,0.060382827
11/27/2015,0.060143864
11/30/2015,0.060325274
12/1/2015,0.060527192
12/2/2015,0.060370069
12/3/2015,0.059840465
12/4/2015,0.060041308
12/7/2015,0.059215045
12/8/2015,0.058748539
12/9/2015,0.058598786
12/10/2015,0.058165236
12/11/2015,0.057496047
12/14/2015,0.057755061
12/15/2015,0.058438181
12/16/2015,0.058881718
12/17/2015,0.058656875
12/18/2015,0.058348844
12/21/2015,0.058270304
12/22/2015,0.058168958
12/23/2015,0.05806358
12/24/2015,0.057981771
12/25/2015,0.058006659
12/28/2015,0.057997576
12/29/2015,0.057960262
12/30/2015,0.057530117
12/31/2015,0.058114194
1/1/2016,0.057928701
1/4/2016,0.057772745
1/5/2016,0.057679773
1/6/2016,0.057018069
1/7/2016,0.05603371
1/8/2016,0.055755656
1/11/2016,0.055915902
1/12/2016,0.055879658
1/13/2016,0.055716514
1/14/2016,0.055934668
1/15/2016,0.05475012
1/18/2016,0.054914279
1/19/2016,0.054711479
1/20/2016,0.053973531
1/21/2016,0.053392278
1/22/2016,0.054223466
1/25/2016,0.053753326
1/26/2016,0.054165899
1/27/2016,0.054133938
1/28/2016,0.05456609
1/29/2016,0.055228785
2/1/2016,0.054846211
2/2/2016,0.054118118
2/3/2016,0.055035773
2/4/2016,0.0547028
2/5/2016,0.054231111
2/8/2016,0.053557848
2/9/2016,0.053187246
2/10/2016,0.052801935
2/11/2016,0.052225866
2/12/2016,0.052886827
2/15/2016,0.05310195
2/16/2016,0.052956285
2/17/2016,0.054450513
2/18/2016,0.054656457
2/19/2016,0.054882332
2/22/2016,0.055312182
2/23/2016,0.054919707
2/24/2016,0.054904631
2/25/2016,0.055166326
2/26/2016,0.054720461
2/29/2016,0.05513895
3/1/2016,0.055829742
3/2/2016,0.056099408
3/3/2016,0.055793297
3/4/2016,0.056260056
3/7/2016,0.056338663
3/8/2016,0.055779292
3/9/2016,0.056297431
3/10/2016,0.056159898
3/11/2016,0.056501325
3/14/2016,0.056351997
3/15/2016,0.055899336
3/16/2016,0.056816568
3/17/2016,0.057739388
3/18/2016,0.057493072
3/21/2016,0.057432976
3/22/2016,0.057692086
3/23/2016,0.056852422
3/24/2016,0.056785272
3/25/2016,0.057017094
3/28/2016,0.057358854
3/29/2016,0.0576545
3/30/2016,0.058031906
3/31/2016,0.05787372
4/1/2016,0.05767312
4/4/2016,0.057185338
4/5/2016,0.056514417
4/6/2016,0.056644707
4/7/2016,0.055940613
4/8/2016,0.056254676
4/11/2016,0.056662681
4/12/2016,0.057203984
4/13/2016,0.057373005
4/14/2016,0.057322029
4/15/2016,0.056970643
4/18/2016,0.057354249
4/19/2016,0.057770075
4/20/2016,0.057876399
4/21/2016,0.057240657
4/22/2016,0.057225589
4/25/2016,0.056937232
4/26/2016,0.057567541
4/27/2016,0.057753727
4/28/2016,0.057900527
4/29/2016,0.058217384
5/2/2016,0.058120612
5/3/2016,0.056781081
5/4/2016,0.056181038
5/5/2016,0.055888402
5/6/2016,0.055965973
5/9/2016,0.05493781
5/10/2016,0.055588291
5/11/2016,0.055579022
5/12/2016,0.055647374
5/13/2016,0.055034259
5/16/2016,0.054626898
5/17/2016,0.05472615
5/18/2016,0.05420113
5/19/2016,0.054276146
5/20/2016,0.054506309
5/23/2016,0.054007053
5/24/2016,0.054092065
5/25/2016,0.054097332
5/26/2016,0.054187619
5/27/2016,0.054126906
5/30/2016,0.054096454
5/31/2016,0.054150061
6/1/2016,0.053990724
6/2/2016,0.053540643
6/3/2016,0.053786864
6/6/2016,0.053565307
6/7/2016,0.054477803
6/8/2016,0.055195253
6/9/2016,0.054800226
6/10/2016,0.053668799
6/13/2016,0.053080247
6/14/2016,0.052811695
6/15/2016,0.052874523
6/16/2016,0.052784376
6/17/2016,0.053085601
6/20/2016,0.053597749
6/21/2016,0.05369387
6/22/2016,0.054071006
6/23/2016,0.054862761
6/24/2016,0.052832342
6/27/2016,0.052134925
6/28/2016,0.053088137
6/29/2016,0.054101137
6/30/2016,0.054703398
7/1/2016,0.054464748
7/4/2016,0.054287048
7/5/2016,0.053140045
7/6/2016,0.053367773
7/7/2016,0.053110129
7/8/2016,0.054039449
7/11/2016,0.054148301
